Population,Garden,Growth,Offset,Offset_sigma,rawClimDist,rawClimDist_sigma
ESC,VT,27.3291052167587,0.262355476617813,1.40507259685671,8.46293899012493,1.9639738022466
G13,MD,30.7622832936924,0.0501636862754822,0.739112801912273,6.58353042563546,1.54899375147197
G13,NC,25.619687274486,0.136395618319511,1.22346769023474,14.4432564438074,3.1464482549117
G13,VT,30.4555233678593,0.11807032674551,1.18119358042131,7.92182181111109,1.86055369335918
G18,MD,38.801912577353,0.0547687858343124,0.801981206961008,7.28172310492839,1.72018427451397
G18,NC,27.564199327659,0.134483620524406,1.21923647851429,15.0437510565711,3.26118143985086
G18,VT,30.3073886951385,0.128779545426369,1.20678603385037,8.39678563559803,1.95209710472755
G57,MD,35.3098672360439,0.0502510778605938,0.740379925191805,6.91414768814054,1.63240345998338
G57,NC,29.0964511925009,0.137876525521278,1.22641073184968,14.5834014527867,3.17346777013562
G57,VT,31.0654153545651,0.116525962948799,1.17588612699863,8.24095049981763,1.92318895095521
GFM,MD,31.9075242529924,0.0704858601093292,0.957873172248689,8.60695613105901,1.9894740581506
GFM,NC,25.3014922103352,0.0956137925386429,1.0853921878693,14.5382178949136,3.16428256522402
GFM,VT,29.8693949998729,0.179865688085556,1.27480254101485,11.6018444859146,2.54075274876795
GPA,MD,28.8891823126706,0.102594286203384,1.10786869383828,10.2795685238265,2.28362507057104
GPA,NC,25.673774450872,0.134475365281105,1.21921908306001,17.4089528865334,3.78816794012942
GPA,VT,29.5335744481863,0.19237819314003,1.28905357384208,12.3570457633285,2.70841854881851
GRE,MD,29.4280393533454,0.316301882266998,1.69658461612442,10.4280938523346,2.31219056479555
GRE,NC,23.6099377266232,0.393970906734467,2.6648294754291,17.8092150331635,3.8861799295769
GRE,VT,25.7284868615044,0.293183267116547,1.56543778519079,11.7514291119789,2.57112173514431
HR,MD,31.9406422971948,0.0724208056926727,0.97196742739265,9.58170319500459,2.15374403430238
HR,NC,27.0819708514437,0.101323999464512,1.10354306469104,16.0501529708074,3.44500864807863
HR,VT,29.6109219414524,0.179484218358994,1.27440488409156,12.2329367627229,2.67954194907005
HUN,MD,28.0427901706946,0.312078088521957,1.66857583034381,10.6462882347223,2.35400993533324
HUN,NC,22.9691960141328,0.386339247226715,2.55960239898134,18.3984598737125,4.03533039624768
HUN,VT,26.8342541433329,0.295774728059769,1.58231433786291,11.7592173893783,2.57274656098487
IND,MD,27.7811245945264,0.310339361429214,1.65838951218402,10.4892804395204,2.32389757047168
IND,NC,25.7136691542777,0.385314732789993,2.54622531500447,18.247020620273,3.99859310845677
IND,VT,28.36884282322,0.292495161294937,1.56030338895304,11.2323931527897,2.46768840305679
JAY,MD,25.7627841975983,0.320945113897324,1.73267520657478,11.9628303135229,2.61682227144667
JAY,NC,20.343944769058,0.399191468954086,2.73780966292809,19.2608782949339,4.26452350109068
JAY,VT,26.181878463162,0.295651018619537,1.58160200744941,12.5325179207326,2.74837614687256
KAN,MD,27.7440859200921,0.319328486919403,1.71954634685868,11.8535268908889,2.59259352285032
KAN,NC,22.0595802393728,0.397102564573288,2.70893325917575,19.3375292427876,4.28704351982833
KAN,VT,29.2170218168677,0.295815318822861,1.58255830316252,12.7380601247494,2.79538930576817
KIL,MD,24.249819420228,0.32418105006218,1.76032190524437,14.7045891522482,3.19718308995221
KIL,NC,19.3242645768655,0.401939928531647,2.77677446069186,21.4165692394211,4.87206481216333
KIL,VT,26.3653545185445,0.300292909145355,1.60561661162637,15.4294665571669,3.3272072669369
KOS,MD,30.6577629558029,0.0711806043982506,0.963120470902202,9.70492079855189,2.17550280195149
KOS,NC,23.5656431151801,0.128932297229767,1.20711766375025,17.1641143256419,3.72822947743011
KOS,VT,28.2486360487004,0.158209323883057,1.25106946375242,11.8393115764955,2.58959941921588
LEU,MD,28.8105006433707,0.326096177101135,1.77613734141068,12.1878357862322,2.66899478360538
LEU,NC,24.0448737684112,0.40400493144989,2.80667571501818,19.9231910986891,4.47465147999478
LEU,VT,28.2631462771561,0.301178485155106,1.60965670897106,12.4286985388724,2.72506808965842
LOL,MD,25.9213353760334,0.321569353342056,1.73799140381561,11.8708241108832,2.59631365209483
LOL,NC,19.8142134065893,0.39968803524971,2.74463333145917,19.7092754818358,4.40076560112764
