cellindex,x,y,CMD,DD_0,DD18,eFFP,EXT,MAR,MSP,PAS,PET,RH,TD
136018,-66.20833334,48.70283134,14,1320,37,262,317,124,471,408,494.2864685,69,286
136019,-66.16666667,48.70283134,9,1359,33,261,315,121,479,427,488.1530151,69,286
136020,-66.125,48.70283134,4,1401,30,260,314,124,487,451,480.5541687,69,287
136021,-66.08333334,48.70283134,0,1519,22,258,309,127,508,511,463.1602173,69,289
136022,-66.04166667,48.70283134,0,1679,16,255,304,124,533,587,443.1122131,69,291
136026,-65.875,48.70283134,0,1573,20,257,306,123,517,549,453.7547607,69,288
136034,-65.54166667,48.70283134,2,1402,28,260,313,124,491,497,475.2308655,70,284
136035,-65.5,48.70283134,0,1486,22,258,310,120,505,544,462.1090393,69,285
136037,-65.41666667,48.70283134,0,1479,23,258,310,121,505,548,462.3433533,69,284
136038,-65.375,48.70283134,0,1437,25,259,311,126,499,531,470.3566895,69,283
136042,-65.20833334,48.70283134,5,1346,30,261,314,117,482,500,484.2450562,69,280
136043,-65.16666667,48.70283134,5,1342,30,261,314,128,481,502,484.7304993,69,280
136046,-65.04166667,48.70283134,10,1289,33,262,316,127,472,486,493.7958679,69,279
136048,-64.95833334,48.70283134,12,1273,34,262,317,128,468,481,497.2381897,69,278
136049,-64.91666667,48.70283134,12,1277,33,262,317,125,469,488,495.5108948,69,278
136050,-64.875,48.70283134,9,1304,31,261,315,126,473,502,492.5587158,69,278
136051,-64.83333334,48.70283134,12,1275,33,262,317,125,467,489,496.2440491,69,278
136052,-64.79166667,48.70283134,17,1243,36,263,318,130,459,477,501.9212036,69,277
136053,-64.75,48.70283134,11,1280,32,262,317,129,466,496,495.7554016,69,278
136730,-73.91666667,48.66116468,30,1883,38,258,335,124,511,373,514.5946045,60,335
136892,-67.16666667,48.66116468,14,1622,23,254,316,128,499,507,495.4271545,64,297
136897,-66.95833334,48.66116468,17,1476,29,258,319,124,485,459,505.0700989,65,293
136898,-66.91666667,48.66116468,14,1508,27,257,318,124,491,472,499.3583984,66,293
136899,-66.875,48.66116468,12,1509,27,257,317,118,493,474,497.803772,66,293
136909,-66.45833334,48.66116468,4,1441,29,259,314,119,492,457,483.7420349,68,290
136912,-66.33333334,48.66116468,13,1335,37,262,318,118,474,410,494.5905457,69,287
136913,-66.29166667,48.66116468,12,1346,35,262,318,118,476,416,494.5905457,69,287
136915,-66.20833334,48.66116468,20,1269,43,264,321,117,463,385,503.2419128,69,286
136916,-66.16666667,48.66116468,17,1279,42,263,320,117,465,392,499.5376587,69,286
136917,-66.125,48.66116468,15,1305,39,263,319,118,470,404,497.5697632,69,286
136918,-66.08333334,48.66116468,9,1346,36,262,317,115,479,426,489.2084961,69,287
136919,-66.04166667,48.66116468,1,1457,27,259,312,127,498,485,474.9298706,69,288
136929,-65.625,48.66116468,0,1486,23,258,310,125,509,535,464.0557251,69,286
136933,-65.45833334,48.66116468,0,1477,23,258,309,126,509,547,466.2631836,69,284
136934,-65.41666667,48.66116468,0,1457,24,259,310,125,504,540,468.4680481,69,283
136935,-65.375,48.66116468,0,1440,24,259,311,122,502,536,469.1766052,69,283
